./canyons-01-2048x2048.png: PNG image data, 2048 x 2048, 8-bit/color RGB, non-interlaced
./volcano.png: PNG image data, 256 x 256, 8-bit grayscale, non-interlaced
./tiled-mountain-01-512x512.png: PNG image data, 512 x 512, 8-bit gray+alpha, non-interlaced
./Pits-n-rocks-512x512.png: PNG image data, 512 x 512, 8-bit/color RGB, non-interlaced
./volcano-04.png: PNG image data, 1024 x 1024, 8-bit grayscale, non-interlaced
./mountain-01-2048x2048.png: PNG image data, 2048 x 2048, 8-bit/color RGBA, non-interlaced
./Terrain-Heightmap-512x512.png: PNG image data, 512 x 512, 8-bit/color RGB, non-interlaced
./canyon-1081x1081.png: PNG image data, 1081 x 1081, 16-bit grayscale, non-interlaced
./volcano-04-800x800.png: PNG image data, 800 x 800, 8-bit/color RGBA, non-interlaced
./layers-512x512.png: PNG image data, 512 x 512, 8-bit/color RGB, non-interlaced
./volcano-island-01-513x513.png: PNG image data, 513 x 513, 8-bit grayscale, non-interlaced
./maze-circle-550-550.png: PNG image data, 550 x 550, 8-bit gray+alpha, non-interlaced
