# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
и,21417
в,11105
не,8738
что,7792
он,7486
на,6780
с,5932
как,4112
его,3951
к,3468
я,3100
но,2777
она,2752
все,2650
это,2565
было,2518
то,2307
сказал,2014
так,1987
о,1887
а,1857
же,1820
за,1818
по,1792
от,1773
ему,1762
ее,1698
из,1695
только,1616
был,1584
бы,1508
пьер,1401
князь,1354
для,1325
у,1289
еще,1157
когда,1099
вы,1095
чтобы,998
они,947
да,924
сноска,923
того,921
теперь,915
была,913
него,912
были,906
ни,889
ты,838
наташа,821
себя,819
андрей,801
мне,798
этого,793
их,791
или,790
том,776
быть,770
уже,752
время,727
сказала,715
до,682
которые,682
себе,675
говорил,657
ей,642
который,641
нет,636
опять,618
меня,612
тем,610
этот,609
вот,604
мы,593
во,592
всех,575
ничего,573
княжна,569
чем,559
потому,557
ну,551
очень,548
после,545
своей,543
есть,542
ростов,534
ли,527
марья,513
под,513
при,507
лицо,502
человек,501
вдруг,500
ним,491
один,489
будет,484
ежели,479
будто,478
пьера,475
может,474
граф,471
раз,459
людей,458
надо,457
эти,441
князя,439
перед,431
ней,427
более,426
глаза,423
мог,422
своего,416
где,412
им,412
другой,410
без,407
дело,405
свою,404
сам,402
несколько,396
николай,394
всегда,393
вас,392
жизни,388
со,384
нее,375
между,371
день,366
человека,365
которое,363
которой,356
которого,348
кто,346
этом,345
вам,344
руку,333
больше,331
люди,323
слова,321
через,320
казалось,317
кутузов,316
мой,316
наполеон,316
графиня,312
про,312
хорошо,312
этой,310
думал,309
этих,307
никогда,306
прежде,306
знал,304
потом,304
тому,300
них,297
об,297
свои,297
над,291
тот,291
голову,289
своим,287
нему,286
свое,286
два,284
даже,283
которая,283
говорить,281
соня,281
стал,281
тогда,278
войска,276
спросил,275
друг,271
тех,269
говорила,267
там,267
денисов,266
которых,265
своих,265
всем,264
сказать,264
солдат,264
видел,263
всего,263
нужно,263
назад,262
несмотря,261
одно,260
котором,258
государь,255
отвечал,255
минуту,253
эту,253
армии,252
хотел,251
андрея,250
вместе,250
лица,249
французов,246
говорили,243
глядя,241
вперед,240
офицер,240
пьеру,239
нем,238
руки,238
те,238
тебе,237
которую,236
знаю,235
нельзя,234
тоже,233
глазами,231
времени,230
голос,230
эта,227
тут,224
одного,223
улыбкой,221
хотя,219
очевидно,218
ваше,217
можно,216
москве,209
анна,208
видимо,208
если,208
государя,207
ж,205
долохов,203
сражения,203
жизнь,202
много,200
кроме,199
собой,199
наполеона,198
чувство,198
ах,197
сделать,197
вышел,196
той,196
должен,194
дома,193
нам,193
нас,193
подошел,193
могла,192
смотрел,192
совершенно,191
москвы,190
графа,189
одна,189
чего,187
петя,186
чувствовал,186
этим,184
никто,182
говорит,181
одной,181
ведь,180
совсем,180
старый,180
борис,179
свой,179
двери,178
улыбаясь,178
первый,177
письмо,177
солдаты,177
тотчас,177
князю,176
против,175
разговор,175
точно,175
стоял,174
долго,173
могу,173
почти,173
тебя,173
всю,172
здесь,171
делать,170
отца,170
своем,170
лице,169
такое,169
видеть,168
давно,168
других,168
пошел,168
другие,167
василий,166
уж,166
быстро,165
голосом,165
которым,165
элен,165
лошадь,163
вопрос,161
ту,161
москву,159
обратился,158
особенно,158
ростова,158
головой,157
друга,157
французы,157
три,156
выражение,154
сейчас,154
должно,152
своими,152
комнаты,151
куда,151
впереди,150
проговорил,150
стороны,150
видно,149
генерал,149
дела,149
лошади,149
лицом,147
продолжал,147
наташи,146
подумал,146
своему,146
такой,146
ехать,145
приехал,145
сидел,145
весь,144
лучше,144
сделал,144
анатоль,141
вся,141
силы,140
та,140
кутузова,139
дверь,138
дня,138
остановился,138
прямо,138
вокруг,137
место,136
положение,136
вошел,135
мысли,135
отец,135
пор,133
стали,133
таким,133
чтоб,133
взял,132
войны,132
говорят,132
отчего,132
нынче,131
стояли,131
зачем,130
иногда,130
поехал,130
думала,129
комнате,129
любви,129
подле,129
русских,129
самое,129
двух,128
руками,128
комнату,127
оно,127
бог,126
денисова,126
русские,126
сторон,126
княжны,125
ростовых,125
всей,124
глаз,124
молча,124
увидал,124
знает,123
знаете,123
знать,123
могли,123
часто,123
весело,122
голоса,122
движения,122
дороге,122
каждый,122
душе,121
понять,121
стало,121
этому,121
крикнул,120
рукой,120
могло,119
наташу,119
начал,118
сражение,118
ясно,118
знала,117
кажется,117
около,117
понял,117
слишком,117
дальше,116
княгиня,115
лошадей,115
ними,115
слово,115
доме,114
люблю,114
мимо,114
невольно,114
скоро,114
сына,114
