koi-8r;unicode;symbol;koi-8r-bin;unicode-bin
80	2500	─	0000000	10010100000000
81	2502	│	0000001	10010100000010
82	250C	┌	0000010	10010100001100
83	2510	┐	0000011	10010100010000
84	2514	└	0000100	10010100010100
85	2518	┘	0000101	10010100011000
86	251C	├	0000110	10010100011100
87	2524	┤	0000111	10010100100100
88	252C	┬	0001000	10010100101100
89	2534	┴	0001001	10010100110100
8A	253C	┼	0001010	10010100111100
8B	2580	▀	0001011	10010110000000
8C	2584	▄	0001100	10010110000100
8D	2588	█	0001101	10010110001000
8E	258C	▌	0001110	10010110001100
8F	2590	▐	0001111	10010110010000
90	2591	░	0010000	10010110010001
91	2592	▒	0010001	10010110010010
92	2593	▓	0010010	10010110010011
93	2320	⌠	0010011	10001100100000
94	25A0	■	0010100	10010110100000
95	2219	∙	0010101	10001000011001
96	221A	√	0010110	10001000011010
97	2248	≈	0010111	10001001001000
98	2264	≤	0011000	10001001100100
99	2265	≥	0011001	10001001100101
9A	00A0	 	0011010	00000010100000
9B	2321	⌡	0011011	10001100100001
9C	00B0	°	0011100	00000010110000
9D	00B2	²	0011101	00000010110010
9E	00B7	·	0011110	00000010110111
9F	00F7	÷	0011111	00000011110111
A0	2550	═	0100000	10010101010000
A1	2551	║	0100001	10010101010001
A2	2552	╒	0100010	10010101010010
A3	0451	ё	0100011	00010001010001
A4	2553	╓	0100100	10010101010011
A5	2554	╔	0100101	10010101010100
A6	2555	╕	0100110	10010101010101
A7	2556	╖	0100111	10010101010110
A8	2557	╗	0101000	10010101010111
A9	2558	╘	0101001	10010101011000
AA	2559	╙	0101010	10010101011001
AB	255A	╚	0101011	10010101011010
AC	255B	╛	0101100	10010101011011
AD	255C	╜	0101101	10010101011100
AE	255D	╝	0101110	10010101011101
AF	255E	╞	0101111	10010101011110
B0	255F	╟	0110000	10010101011111
B1	2560	╠	0110001	10010101100000
B2	2561	╡	0110010	10010101100001
B3	0401	Ё	0110011	00010000000001
B4	2562	╢	0110100	10010101100010
B5	2563	╣	0110101	10010101100011
B6	2564	╤	0110110	10010101100100
B7	2565	╥	0110111	10010101100101
B8	2566	╦	0111000	10010101100110
B9	2567	╧	0111001	10010101100111
BA	2568	╨	0111010	10010101101000
BB	2569	╩	0111011	10010101101001
BC	256A	╪	0111100	10010101101010
BD	256B	╫	0111101	10010101101011
BE	256C	╬	0111110	10010101101100
BF	00A9	©	0111111	00000010101001
C0	044E	ю	1000000	00010001001110
C1	0430	а	1000001	00010000110000
C2	0431	б	1000010	00010000110001
C3	0446	ц	1000011	00010001000110
C4	0434	д	1000100	00010000110100
C5	0435	е	1000101	00010000110101
C6	0444	ф	1000110	00010001000100
C7	0433	г	1000111	00010000110011
C8	0445	х	1001000	00010001000101
C9	0438	и	1001001	00010000111000
CA	0439	й	1001010	00010000111001
CB	043A	к	1001011	00010000111010
CC	043B	л	1001100	00010000111011
CD	043C	м	1001101	00010000111100
CE	043D	н	1001110	00010000111101
CF	043E	о	1001111	00010000111110
D0	043F	п	1010000	00010000111111
D1	044F	я	1010001	00010001001111
D2	0440	р	1010010	00010001000000
D3	0441	с	1010011	00010001000001
D4	0442	т	1010100	00010001000010
D5	0443	у	1010101	00010001000011
D6	0436	ж	1010110	00010000110110
D7	0432	в	1010111	00010000110010
D8	044C	ь	1011000	00010001001100
D9	044B	ы	1011001	00010001001011
DA	0437	з	1011010	00010000110111
DB	0448	ш	1011011	00010001001000
DC	044D	э	1011100	00010001001101
DD	0449	щ	1011101	00010001001001
DE	0447	ч	1011110	00010001000111
DF	044A	ъ	1011111	00010001001010
E0	042E	Ю	1100000	00010000101110
E1	0410	А	1100001	00010000010000
E2	0411	Б	1100010	00010000010001
E3	0426	Ц	1100011	00010000100110
E4	0414	Д	1100100	00010000010100
E5	0415	Е	1100101	00010000010101
E6	0424	Ф	1100110	00010000100100
E7	0413	Г	1100111	00010000010011
E8	0425	Х	1101000	00010000100101
E9	0418	И	1101001	00010000011000
EA	0419	Й	1101010	00010000011001
EB	041A	К	1101011	00010000011010
EC	041B	Л	1101100	00010000011011
ED	041C	М	1101101	00010000011100
EE	041D	Н	1101110	00010000011101
EF	041E	О	1101111	00010000011110
F0	041F	П	1110000	00010000011111
F1	042F	Я	1110001	00010000101111
F2	0420	Р	1110010	00010000100000
F3	0421	С	1110011	00010000100001
F4	0422	Т	1110100	00010000100010
F5	0423	У	1110101	00010000100011
F6	0416	Ж	1110110	00010000010110
F7	0412	В	1110111	00010000010010
F8	042C	Ь	1111000	00010000101100
F9	042B	Ы	1111001	00010000101011
FA	0417	З	1111010	00010000010111
FB	0428	Ш	1111011	00010000101000
FC	042D	Э	1111100	00010000101101
FD	0429	Щ	1111101	00010000101001
FE	0427	Ч	1111110	00010000100111
FF	042A	Ъ	1111111	00010000101010
